Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments,Id,ParentId,property 1,Text
44,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Right Sizing,,e4CyXhu6TW~g,h1J-nKUc_5GM,,Right Sizing
45,IntelligentMindMapRootNodeBlock,Mind Maps,2,,,,,,,,CloudDeliveryExcellence,,t0J-03TUHTBS,,,CloudDeliveryExcellence
46,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Errors,,D9CyCvrtvZZY,41J-kdDoBKUA,,Errors
47,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Service Metrics,,E8CyZvNGjdJ5,t0J-Iqrg1pg~,,Service Metrics
48,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Cross Service Diagnosis,,K1J-kiXGOli3,t0J-Iqrg1pg~,,Cross Service Diagnosis
49,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Cross FunctionalCollaboration,,qkEydTyDY5Q_,z2J-eq0at805,,Cross FunctionalCollaboration
50,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,FinOps,,h1J-nKUc_5GM,t0J-03TUHTBS,,FinOps
51,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Governance &Security,,8lEyO5wbXfXt,6kEy_uunNp7N,,Governance &Security
52,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,RBAC,,a3CynToNiZwQ,82CymB3HqYDA,,RBAC
53,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Approvals,,82CymB3HqYDA,t0J-ZHj_fEwE,,Approvals
54,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Lead Time,,S8CytN9FNbeM,K8Cy.PTBR~Qq,,Lead Time
55,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,MTTR,,Q8CydKA9npHa,K8Cy.PTBR~Qq,,MTTR
